Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime
FXGL,D42,C39YR00AN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000450,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:14:42,2019-07-05 09:15:29
FXGL,D42,C39YR00BN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000451,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:15:22,2019-07-05 09:16:03
FXGL,D42,C39YR00HN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000457,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:21:37,2019-07-05 09:22:22
FXGL,D42,C39YR00MN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000461,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:13:07,2019-07-05 09:13:45
FXGL,D42,C39YR00PN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000354,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:21:42,2019-07-05 09:22:23
FXGL,D42,C39YR00PN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000354,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:23:10,2019-07-05 09:23:17
FXGL,D42,C39YR00QN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000342,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:16:20,2019-07-05 09:17:05
FXGL,D42,C39YR012N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000416,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:21:19,2019-07-05 09:21:58
FXGL,D42,C39YR013N2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000367,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:22:52,2019-07-05 09:23:31
FXGL,D42,C39YR01DN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000344,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:20:49,2019-07-05 09:21:28
FXGL,D42,C39YR01DN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000405,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:18:33,2019-07-05 09:19:09
FXGL,D42,C39YR01PN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000612,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:17:29,2019-07-05 09:18:09
FXGL,D42,C39YR01SN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000615,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:14:15,2019-07-05 09:14:55
FXGL,D42,C39YR022N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000413,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:22:49,2019-07-05 09:23:30
FXGL,D42,C39YR029N2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000630,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:14:21,2019-07-05 09:15:01
FXGL,D42,C39YR02AN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000634,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:20:22,2019-07-05 09:21:01
FXGL,D42,C39YR033N2QT,D42-CARRIERMINI,D42-CARRIERMINI_2M4B,000316,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:20:20,2019-07-05 09:21:00
FXGL,D42,C39YR05EN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M22BJ,000881,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:18:29,2019-07-05 09:19:05
FXGL,D42,C39YV001N2R2,D42-CARRIER,D42-CARRIER_2G31RX,006072,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:17:31,2019-07-05 09:18:11
FXGL,D42,C39YV004N2R2,D42-CARRIER,D42-CARRIER_2G31RX,006075,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:15:27,2019-07-05 09:16:04
FXGL,D42,C39YV00DN2R2,D42-CARRIER,D42-CARRIER_2G31RX,006084,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:16:23,2019-07-05 09:17:06
FXGL,D42,C39YV01CN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006501,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:13:15,2019-07-05 09:13:52
FXGL,D42,C39YV01MN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006510,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:16:11,2019-07-05 09:16:57
FXGL,D42,C39YV020N2RT,D42-CARRIER,D42-CARRIER_1G36RX,006523,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:19:30,2019-07-05 09:20:05
FXGL,D42,C39YR00HN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000457,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:35:01,2019-07-05 20:35:35
